instance_id,dataset,source_file,pair_index,N,R,I,L,F,original_line_A,original_line_B,len_A,len_B,unique_labels_A,unique_labels_B,max_label_A,max_label_B,processed_file
SREV_000001,SREV,N200_SREV100_I0_L100_F0.txt,1,200,100,0,100,0,1,3,200,200,87,87,98,98,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000002,SREV,N200_SREV100_I0_L100_F0.txt,2,200,100,0,100,0,5,7,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000003,SREV,N200_SREV100_I0_L100_F0.txt,3,200,100,0,100,0,9,11,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000004,SREV,N200_SREV100_I0_L100_F0.txt,4,200,100,0,100,0,13,15,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000005,SREV,N200_SREV100_I0_L100_F0.txt,5,200,100,0,100,0,17,19,200,200,84,84,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000006,SREV,N200_SREV100_I0_L100_F0.txt,6,200,100,0,100,0,21,23,200,200,86,86,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000007,SREV,N200_SREV100_I0_L100_F0.txt,7,200,100,0,100,0,25,27,200,200,85,85,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000008,SREV,N200_SREV100_I0_L100_F0.txt,8,200,100,0,100,0,29,31,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000009,SREV,N200_SREV100_I0_L100_F0.txt,9,200,100,0,100,0,33,35,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000010,SREV,N200_SREV100_I0_L100_F0.txt,10,200,100,0,100,0,37,39,200,200,86,86,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000011,SREV,N200_SREV100_I0_L100_F0.txt,11,200,100,0,100,0,41,43,200,200,84,84,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000012,SREV,N200_SREV100_I0_L100_F0.txt,12,200,100,0,100,0,45,47,200,200,83,83,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000013,SREV,N200_SREV100_I0_L100_F0.txt,13,200,100,0,100,0,49,51,200,200,84,84,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000014,SREV,N200_SREV100_I0_L100_F0.txt,14,200,100,0,100,0,53,55,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000015,SREV,N200_SREV100_I0_L100_F0.txt,15,200,100,0,100,0,57,59,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000016,SREV,N200_SREV100_I0_L100_F0.txt,16,200,100,0,100,0,61,63,200,200,84,84,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000017,SREV,N200_SREV100_I0_L100_F0.txt,17,200,100,0,100,0,65,67,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000018,SREV,N200_SREV100_I0_L100_F0.txt,18,200,100,0,100,0,69,71,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000019,SREV,N200_SREV100_I0_L100_F0.txt,19,200,100,0,100,0,73,75,200,200,84,84,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000020,SREV,N200_SREV100_I0_L100_F0.txt,20,200,100,0,100,0,77,79,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000021,SREV,N200_SREV100_I0_L100_F0.txt,21,200,100,0,100,0,81,83,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000022,SREV,N200_SREV100_I0_L100_F0.txt,22,200,100,0,100,0,85,87,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000023,SREV,N200_SREV100_I0_L100_F0.txt,23,200,100,0,100,0,89,91,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000024,SREV,N200_SREV100_I0_L100_F0.txt,24,200,100,0,100,0,93,95,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000025,SREV,N200_SREV100_I0_L100_F0.txt,25,200,100,0,100,0,97,99,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000026,SREV,N200_SREV100_I0_L100_F0.txt,26,200,100,0,100,0,101,103,200,200,78,78,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000027,SREV,N200_SREV100_I0_L100_F0.txt,27,200,100,0,100,0,105,107,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
